# z        bx_sc        by_sc        bx_wo_sc        by_wo_sc
6.0227000e+00 1.5817588e+01 1.5797024e+01 2.3836489e+00 2.3840603e+00
6.0341000e+00 1.5869276e+01 1.5848647e+01 2.3845113e+00 2.3844913e+00
6.0449000e+00 1.5918691e+01 1.5898000e+01 2.3849425e+00 2.3849224e+00
6.0563000e+00 1.5971572e+01 1.5949807e+01 2.3857501e+00 2.3857850e+00
6.0677000e+00 1.6023455e+01 1.6002330e+01 2.3866131e+00 2.3866479e+00
6.0791000e+00 1.6076499e+01 1.6054599e+01 2.3874764e+00 2.3875110e+00
6.0899000e+00 1.6125879e+01 1.6104926e+01 2.3883398e+00 2.3883742e+00
6.1013000e+00 1.6179388e+01 1.6157354e+01 2.3892033e+00 2.3892376e+00
6.1127000e+00 1.6231966e+01 1.6210878e+01 2.3904989e+00 2.3905330e+00
6.1240000e+00 1.6285643e+01 1.6263470e+01 2.3917949e+00 2.3918288e+00
6.1348000e+00 1.6336346e+01 1.6314108e+01 2.3930912e+00 2.3931249e+00
6.1462000e+00 1.6389547e+01 1.6368259e+01 2.3948201e+00 2.3948535e+00
6.1576000e+00 1.6443472e+01 1.6421094e+01 2.3965497e+00 2.3965828e+00
6.1690000e+00 1.6497481e+01 1.6475034e+01 2.3983356e+00 2.3983684e+00
6.1804000e+00 1.6551575e+01 1.6529057e+01 2.4000664e+00 2.4000990e+00
6.1912000e+00 1.6603298e+01 1.6580400e+01 2.4018535e+00 2.4018302e+00
6.2026000e+00 1.6657799e+01 1.6635142e+01 2.4040743e+00 2.4040505e+00
6.2140000e+00 1.6713961e+01 1.6691228e+01 2.4064075e+00 2.4064389e+00
6.2254000e+00 1.6771348e+01 1.6749882e+01 2.4093425e+00 2.4093733e+00
6.2362000e+00 1.6828532e+01 1.6806671e+01 2.4125588e+00 2.4125888e+00
6.2476000e+00 1.6887943e+01 1.6866636e+01 2.4169821e+00 2.4169549e+00
6.2589000e+00 1.6939848e+01 1.6917446e+01 2.4222247e+00 2.4222520e+00
6.2703000e+00 1.6976717e+01 1.6954930e+01 2.4276133e+00 2.4276387e+00
6.2811000e+00 1.7015310e+01 1.6993495e+01 2.4312788e+00 2.4313030e+00
6.2925000e+00 1.7087995e+01 1.7065428e+01 2.4304194e+00 2.4304438e+00
6.3039000e+00 1.7132950e+01 1.7109375e+01 2.4260393e+00 2.4256318e+00
6.3153000e+00 1.7101065e+01 1.7077012e+01 2.4214600e+00 2.4214331e+00
6.3261000e+00 1.7074162e+01 1.7049618e+01 2.4204765e+00 2.4200190e+00
6.3375000e+00 1.7115900e+01 1.7091313e+01 2.4229501e+00 2.4229841e+00
6.3489000e+00 1.7230089e+01 1.7205575e+01 2.4293400e+00 2.4293761e+00
6.3603000e+00 1.7373667e+01 1.7349474e+01 2.4391666e+00 2.4387628e+00
6.3711000e+00 1.7464422e+01 1.7441361e+01 2.4515688e+00 2.4511614e+00
6.3824000e+00 1.7441904e+01 1.7419946e+01 2.4640570e+00 2.4636454e+00
6.3938000e+00 1.7390004e+01 1.7369206e+01 2.4726823e+00 2.4723256e+00
6.4052000e+00 1.7533673e+01 1.7511621e+01 2.4710856e+00 2.4706734e+00
6.4166000e+00 1.7679028e+01 1.7654696e+01 2.4612928e+00 2.4608297e+00
6.4274000e+00 1.7633380e+01 1.7608252e+01 2.4536007e+00 2.4535891e+00
6.4388000e+00 1.7579087e+01 1.7553531e+01 2.4516763e+00 2.4517238e+00
6.4502000e+00 1.7615155e+01 1.7589895e+01 2.4551534e+00 2.4546987e+00
6.4616000e+00 1.7730978e+01 1.7705794e+01 2.4622621e+00 2.4622566e+00
6.4724000e+00 1.7875349e+01 1.7850163e+01 2.4726492e+00 2.4722475e+00
6.4838000e+00 1.7993540e+01 1.7969446e+01 2.4860097e+00 2.4860619e+00
6.4952000e+00 1.7998154e+01 1.7975462e+01 2.5012465e+00 2.5008358e+00
6.5066000e+00 1.7930059e+01 1.7908597e+01 2.5128822e+00 2.5129320e+00
6.5173000e+00 1.8016051e+01 1.7993775e+01 2.5144537e+00 2.5140398e+00
6.5287000e+00 1.8196844e+01 1.8172489e+01 2.5055045e+00 2.5050383e+00
6.5401000e+00 1.8183876e+01 1.8158264e+01 2.4960107e+00 2.4955510e+00
6.5515000e+00 1.8115213e+01 1.8089187e+01 2.4927716e+00 2.4923726e+00
6.5623000e+00 1.8127373e+01 1.8101045e+01 2.4958750e+00 2.4954767e+00
6.5737000e+00 1.8223228e+01 1.8197036e+01 2.5024630e+00 2.5024701e+00
6.5851000e+00 1.8368506e+01 1.8342657e+01 2.5139120e+00 2.5134524e+00
6.5965000e+00 1.8501644e+01 1.8476535e+01 2.5281752e+00 2.5277693e+00
6.6073000e+00 1.8536517e+01 1.8512766e+01 2.5450286e+00 2.5446170e+00
6.6187000e+00 1.8469291e+01 1.8446801e+01 2.5589548e+00 2.5585980e+00
6.6301000e+00 1.8503265e+01 1.8479604e+01 2.5641003e+00 2.5636830e+00
6.6415000e+00 1.8691989e+01 1.8667341e+01 2.5563771e+00 2.5559652e+00
6.6528000e+00 1.8718173e+01 1.8692123e+01 2.5458450e+00 2.5454398e+00
